NGO_Location,Crisis_Level,Days_Since_Last_Supply,People_Count,Water_Stock_Liters,Food_Stock_Kg,Medicine_Units,Blankets_Count,Fuel_Liters,Supplies_Short
North Base,High,8,725,549,208,175,558,570,"Water, Food, Medicine, Blankets"
West Outpost,Moderate,8,350,499,1997,383,139,89,"Water, Blankets, Fuel"
Central Command,Severe,3,968,737,1037,149,245,491,"Water, Food, Medicine, Blankets"
West Outpost,Severe,13,352,508,1656,272,660,198,Water
South Shelter,Moderate,4,336,653,1441,324,757,361,Water
South Shelter,Severe,1,444,803,1460,107,394,440,"Water, Medicine"
Central Command,Severe,10,59,480,1400,138,486,25,Fuel
West Outpost,High,8,756,662,1043,349,475,24,"Water, Food, Medicine, Blankets, Fuel"
North Base,High,7,679,113,586,270,516,393,"Water, Food, Medicine, Blankets"
Central Command,Moderate,2,319,748,1935,346,183,506,Blankets
South Shelter,Low,10,641,577,1778,418,19,300,"Water, Blankets"
South Shelter,Moderate,11,654,360,1758,288,557,338,"Water, Medicine"
Central Command,Severe,12,827,340,1014,211,523,266,"Water, Food, Medicine, Blankets"
West Outpost,Low,8,893,769,1093,380,581,460,"Water, Food, Medicine, Blankets"
South Shelter,Moderate,2,911,986,1847,271,528,692,"Water, Medicine, Blankets"
West Outpost,Moderate,8,410,760,1234,417,146,455,"Water, Blankets"
South Shelter,High,1,306,968,1124,65,665,359,Medicine
South Shelter,Severe,11,182,448,697,482,303,67,Fuel
East Camp,Moderate,9,325,842,131,423,619,862,Food
South Shelter,Moderate,8,825,834,1646,247,747,411,"Water, Medicine"
North Base,High,14,732,179,1404,155,581,970,"Water, Medicine, Blankets"
Central Command,High,7,562,701,1155,46,694,490,"Water, Medicine"
Central Command,Moderate,8,362,406,1043,422,761,832,Water
West Outpost,High,4,625,665,1929,453,227,48,"Water, Blankets, Fuel"
South Shelter,Moderate,10,935,195,535,200,101,686,"Water, Food, Medicine, Blankets"
North Base,Moderate,10,333,465,1013,147,586,563,"Water, Medicine"
West Outpost,High,1,170,310,226,123,416,101,"Water, Food"
East Camp,High,7,156,261,1177,0,215,215,"Water, Medicine"
West Outpost,Severe,11,982,418,1828,455,406,437,"Water, Medicine, Blankets"
West Outpost,Moderate,14,736,405,1765,246,398,699,"Water, Medicine, Blankets"
South Shelter,High,5,253,938,1492,342,714,568,None
East Camp,High,7,214,142,821,127,703,558,Water
West Outpost,Low,10,354,341,870,190,760,158,Water
North Base,High,4,546,315,404,66,498,488,"Water, Food, Medicine"
North Base,Moderate,9,681,100,201,3,753,685,"Water, Food, Medicine"
Central Command,Severe,1,605,243,37,441,464,241,"Water, Food, Blankets"
East Camp,Moderate,5,873,489,941,408,690,793,"Water, Food, Medicine, Blankets"
East Camp,High,4,205,11,1795,302,730,752,Water
Central Command,Low,11,416,238,187,293,81,881,"Water, Food, Blankets"
West Outpost,Severe,12,768,560,1080,142,603,4,"Water, Food, Medicine, Blankets, Fuel"
East Camp,High,11,951,41,940,190,686,595,"Water, Food, Medicine, Blankets"
North Base,High,4,669,677,1043,20,750,819,"Water, Medicine"
North Base,Low,12,300,593,272,226,771,360,"Water, Food"
South Shelter,High,0,965,428,1142,312,364,458,"Water, Food, Medicine, Blankets"
East Camp,Moderate,1,931,802,582,116,162,247,"Water, Food, Medicine, Blankets"
West Outpost,Severe,7,383,157,515,436,47,565,"Water, Food, Blankets"
Central Command,Moderate,12,691,215,1244,301,510,672,"Water, Medicine, Blankets"
Central Command,Moderate,13,560,669,525,499,328,945,"Water, Food, Blankets"
West Outpost,Low,12,342,461,1538,141,115,421,"Water, Medicine, Blankets"
South Shelter,High,2,69,133,1751,483,336,922,Water
Central Command,High,9,331,66,1764,459,736,737,Water
East Camp,Low,2,846,847,335,400,146,14,"Water, Food, Medicine, Blankets, Fuel"
South Shelter,High,7,50,6,697,38,574,735,Water
East Camp,High,7,168,947,1078,392,322,572,None
North Base,High,1,84,525,499,354,442,121,None
South Shelter,High,7,247,72,899,251,12,276,"Water, Blankets"
Central Command,High,10,534,398,1911,332,493,557,Water
South Shelter,High,12,806,404,765,206,700,452,"Water, Food, Medicine"
South Shelter,Moderate,12,108,674,535,209,286,389,None
South Shelter,Moderate,0,886,577,161,114,719,293,"Water, Food, Medicine"
South Shelter,Severe,5,210,858,1693,224,113,573,Blankets
East Camp,Severe,7,740,129,593,133,479,597,"Water, Food, Medicine, Blankets"
North Base,Moderate,2,255,930,1938,250,21,445,Blankets
West Outpost,Moderate,7,61,465,158,218,348,209,None
South Shelter,High,11,539,205,1211,406,725,589,Water
Central Command,High,0,325,787,59,442,682,713,Food
South Shelter,Low,10,742,977,914,90,565,301,"Water, Food, Medicine, Blankets"
Central Command,Moderate,10,291,767,1840,353,319,908,None
East Camp,High,8,265,265,1342,375,125,222,"Water, Blankets"
Central Command,High,12,300,536,1901,45,276,733,"Water, Medicine"
West Outpost,Low,10,860,961,210,37,203,2,"Water, Food, Medicine, Blankets, Fuel"
North Base,Moderate,12,175,792,405,141,193,989,None
Central Command,Moderate,8,266,252,663,99,680,517,"Water, Medicine"
Central Command,High,4,355,821,1132,327,663,92,Fuel
North Base,Low,9,846,288,1099,189,546,519,"Water, Food, Medicine, Blankets"
West Outpost,Moderate,3,234,163,541,34,695,427,"Water, Medicine"
South Shelter,High,14,88,94,1337,146,285,492,Water
Central Command,Moderate,10,272,781,997,29,56,234,"Medicine, Blankets"
North Base,High,5,233,832,1140,333,733,619,None
East Camp,Moderate,11,544,109,926,83,302,160,"Water, Medicine, Blankets"
North Base,Low,6,476,335,867,368,162,720,"Water, Blankets"
East Camp,Moderate,4,227,821,1727,280,18,751,Blankets
West Outpost,High,10,968,237,18,423,369,330,"Water, Food, Medicine, Blankets"
South Shelter,Severe,12,477,380,431,343,263,332,"Water, Food, Blankets"
North Base,Severe,9,343,435,1708,269,793,49,"Water, Fuel"
Central Command,Moderate,8,901,898,739,153,112,522,"Water, Food, Medicine, Blankets"
West Outpost,High,2,200,482,1373,101,487,862,None
North Base,Moderate,14,433,936,182,214,326,667,"Food, Medicine, Blankets"
Central Command,Moderate,6,687,901,112,149,541,491,"Water, Food, Medicine, Blankets"
North Base,Severe,9,862,24,1206,431,646,581,"Water, Food, Blankets"
East Camp,Low,9,357,652,480,82,578,680,"Water, Food, Medicine"
North Base,Low,10,385,116,1169,109,64,271,"Water, Medicine, Blankets"
North Base,Moderate,4,995,481,830,434,291,579,"Water, Food, Medicine, Blankets"
North Base,Low,13,795,391,1651,386,24,866,"Water, Medicine, Blankets"
